t1,t2,t3,d1,d2,d3,PN,Qeff,DT,BW
1625,363,138,1.78e+18,1.34e+16,3.25e+18,-161.121080601487,0.127847342791651,119.739189584823,6.42673807234164
1813,406,119,7.5e+18,5.47e+16,8.29e+18,-161.420392506753,0.142941071900954,146.779379852833,5.77751759352388
1938,494,306,4.22e+19,7.31e+15,5.7e+18,-162.376609674312,0.146863823801879,113.41972960379,8.95380469104149
1500,450,250,1e+19,2e+16,2.24e+18,-162.087268141794,0.181375830383845,119.20347808546,7.43911936047134
1432,268,473,1.87e+18,848000000000000,5.02e+17,-160.281601024108,0.195883617845803,125.800229902562,5.96946982846243
712,303,303,4.98e+18,4.86e+15,5.4e+17,-161.874477654745,0.195144796799774,85.6502467461069,9.21201510759688
319,357,100,4.51e+18,924000000000000,9.59e+18,-163.526624019604,0.179478171789762,68.0020828506009,12.2747234057017
305,325,114,6.95e+18,6.46e+15,1.74e+18,-163.168275182911,0.195120700914669,71.7349832049084,11.6676412968378
1991,609,400,3.9e+19,4e+15,4.71e+18,-164.011647507557,0.182510665082788,96.0289299780681,11.5793968153262
1153,533,128,8.54e+18,836000000000000,5.64e+18,-163.687343911437,0.179732945775663,90.7239136617798,10.528985271956
529,290,502,6.24e+18,5.2e+15,8.02e+17,-161.930333281861,0.242588886451746,80.7995653333993,9.83588249378236
1120,538,126,5.74e+18,162000000000000,5.96e+18,-164.076142151686,0.184738679373429,85.6502467461069,10.9433157013361
1278,464,463,7.6e+18,9.08e+15,7.88e+17,-162.582950029652,0.238048607279762,106.832085779742,8.73730210546727
1197,400,531,5.21e+18,7.97e+15,3.81e+18,-161.912444331996,0.246458900101441,107.367797279104,7.81731074131916
1200,500,200,8e+18,8e+15,6e+17,-163.19456606083,0.187223545460058,96.0289299780681,9.82588452940468
1883,642,254,3.81e+19,1.05e+16,2.49e+18,-164.303846955056,0.165325501736986,95.4932184787055,11.9472795819418
853,413,437,1e+19,431000000000000,1.31e+18,-162.825269225173,0.25169943932252,85.6502467461069,9.70735177930158
1750,625,325,3.16e+18,8.94e+15,4.73e+18,-164.218956427932,0.21259314500288,101.038212770322,10.8264629447432
904,315,822,6.42e+18,9.65e+15,3.68e+18,-160.96049926954,0.285392717440202,101.573924269685,7.42039667487522
988,283,871,8.49e+18,703000000000000,1.26e+17,-161.190421719887,0.283073974579395,107.367797279104,7.6692990609255
1375,538,363,5.62e+18,5.98e+15,1.54e+18,-163.523845707186,0.226300687935913,101.038212770322,10.0677447604535
1153,291,859,1.83e+18,854000000000000,1.18e+17,-162.150968263267,0.275546372827768,95.4932184787055,8.72306117500877
1207,533,294,7.57e+18,257000000000000,8.79e+17,-163.716909031806,0.219965036049912,90.7239136617798,10.5671717087688
1238,494,156,7.5e+17,4.22e+15,7.5e+18,-164.737820350223,0.189156504973092,75.6280514047444,11.1977147369141
